name,referencePath,policyType,category,displayName,description,groupNames,policySets,allowedEffects,sandboxEffect,sandboxParameters,prodEffect,prodParameters
051cba44-2429-45b9-9649-46cec11c7119,,BuiltIn,API for FHIR,Azure API for FHIR should use a customer-managed key to encrypt data at rest,Use a customer-managed key to control the encryption at rest of the data stored in Azure API for FHIR when this is a regulatory or compliance requirement. Customer-managed keys also deliver double encryption by adding a second layer of encryption on top of the default one done with service-managed keys.,"Azure_Security_Benchmark_v3.0_DP-5,EU_2555_(NIS2)_2022_21,ISO_IEC_27001_2022_7.5.3,NIST_SP_800-53_R5_SC-12","MCSB-V2: disabled (override)),NIST-800-53: disabled (override)),NIS2-EU-2022: Disabled (assignment: effect-051cba44-2429-45b9-9649-46cec11c7119),ISO/IEC 27001 2022: Disabled (assignment: effect-051cba44-2429-45b9-9649-46cec11c7119)","parameter: Audit,Disabled",Disabled,,Disabled,
1ee56206-5dd1-42ab-b02d-8aae8b1634ce,,BuiltIn,API for FHIR,Azure API for FHIR should use private link,"Azure API for FHIR should have at least one approved private endpoint connection. Clients in a virtual network can securely access resources that have private endpoint connections through private links. For more information, visit: https://aka.ms/fhir-privatelink.","Azure_Security_Benchmark_v3.0_NS-2,NIST_SP_800-53_R5_AC-17,NIST_SP_800-53_R5_AC-17(1),NIST_SP_800-53_R5_AC-4,NIST_SP_800-53_R5_SC-7,NIST_SP_800-53_R5_SC-7(3)","MCSB-V2: Audit (Policy Default),NIST-800-53: Audit (Policy Default)","override: Audit,Disabled",Audit,,Audit,
0fea8f8a-4169-495d-8307-30ec335f387d,,BuiltIn,API for FHIR,CORS should not allow every domain to access your API for FHIR,"Cross-Origin Resource Sharing (CORS) should not allow all domains to access your API for FHIR. To protect your API for FHIR, remove access for all domains and explicitly define the domains allowed to connect.",EU_2555_(NIS2)_2022_21,NIS2-EU-2022: Audit (default: effect-0fea8f8a-4169-495d-8307-30ec335f387d),"parameter: Audit,Disabled",Audit,,Audit,
ee7495e7-3ba7-40b6-bfee-c29e22cc75d4,,BuiltIn,API Management,API Management APIs should use only encrypted protocols,"To ensure security of data in transit, APIs should be available only through encrypted protocols, like HTTPS or WSS. Avoid using unsecured protocols, such as HTTP or WS.",Azure_Security_Benchmark_v3.0_DP-3,"MCSB: Audit (Policy Default),MCSB-V2: Audit (Policy Default)","override: Deny,Audit,Disabled",Audit,,Audit,
c15dcc82-b93c-4dcb-9332-fbf121685b54,,BuiltIn,API Management,API Management calls to API backends should be authenticated,"Calls from API Management to backends should use some form of authentication, whether via certificates or credentials. Does not apply to Service Fabric backends.",Azure_Security_Benchmark_v3.0_IM-4,"MCSB: Audit (Policy Default),MCSB-V2: Audit (Policy Default)","override: Deny,Audit,Disabled",Audit,,Audit,
92bb331d-ac71-416a-8c91-02f2cb734ce4,,BuiltIn,API Management,API Management calls to API backends should not bypass certificate thumbprint or name validation,"To improve the API security, API Management should validate the backend server certificate for all API calls. Enable SSL certificate thumbprint and name validation.",Azure_Security_Benchmark_v3.0_IM-4,"MCSB: Audit (Policy Default),MCSB-V2: Audit (Policy Default)","override: Deny,Audit,Disabled",Audit,,Audit,
b741306c-968e-4b67-b916-5675e5c709f4,,BuiltIn,API Management,API Management direct management endpoint should not be enabled,"The direct management REST API in Azure API Management bypasses Azure Resource Manager role-based access control, authorization, and throttling mechanisms, thus increasing the vulnerability of your service.",Azure_Security_Benchmark_v3.0_PV-2,"MCSB: Audit (Policy Default),MCSB-V2: Audit (Policy Default)","override: Deny,Audit,Disabled",Audit,,Audit,
f1cc7827-022c-473e-836e-5a51cae0b249,,BuiltIn,API Management,API Management secret named values should be stored in Azure Key Vault,"Named values are a collection of name and value pairs in each API Management service. Secret values can be stored either as encrypted text in API Management (custom secrets) or by referencing secrets in Azure Key Vault. To improve security of API Management and secrets, reference secret named values from Azure Key Vault. Azure Key Vault supports granular access management and secret rotation policies.","Azure_Security_Benchmark_v3.0_DP-6,Azure_Security_Benchmark_v3.0_IM-8","MCSB: Audit (Policy Default),MCSB-V2: Audit (Policy Default)","override: Deny,Audit,Disabled",Audit,,Audit,
ef619a2c-cc4d-4d03-b2ba-8c94a834d85b,,BuiltIn,API Management,API Management services should use a virtual network,"Azure Virtual Network deployment provides enhanced security, isolation and allows you to place your API Management service in a non-internet routable network that you control access to. These networks can then be connected to your on-premises networks using various VPN technologies, which enables access to your backend services within the network and/or on-premises. The developer portal and API gateway, can be configured to be accessible either from the Internet or only within the virtual network.","Azure_Security_Benchmark_v3.0_NS-2,NIST_SP_800-53_R5_AC-4,NIST_SP_800-53_R5_SC-7,NIST_SP_800-53_R5_SC-7(3)","MCSB: Audit (default: aPIManagementServicesShouldUseAVirtualNetworkMonitoringEffect),MCSB-V2: Audit (Policy Default),NIST-800-53: Audit (Policy Default)","parameter: Deny,Audit,Disabled",Audit,"{""evaluatedSkuNames-ef619a2c-cc4d-4d03-b2ba-8c94a834d85b"":[""Developer"",""Premium""],""aPIManagementServicesShouldUseAVirtualNetworkEvaluatedSkuNames"":[""Developer"",""Premium""]}",Audit,"{""evaluatedSkuNames-ef619a2c-cc4d-4d03-b2ba-8c94a834d85b"":[""Developer"",""Premium""],""aPIManagementServicesShouldUseAVirtualNetworkEvaluatedSkuNames"":[""Developer"",""Premium""]}"
df73bd95-24da-4a4f-96b9-4e8b94b402bd,,BuiltIn,API Management,API Management should disable public network access to the service configuration endpoints,"To improve the security of API Management services, restrict connectivity to service configuration endpoints, like direct access management API, Git configuration management endpoint, or self-hosted gateways configuration endpoint.","Azure_Security_Benchmark_v3.0_NS-2,EU_2555_(NIS2)_2022_21,NIS2_PV._Posture_and_Vulnerability_Management_5,NIST_CSF_v2.0_PR.AA_05","MCSB: AuditIfNotExists (Policy Default),MCSB-V2: AuditIfNotExists (Policy Default),NIS2-Preview: AuditIfNotExists (Policy Default),NIS2-EU-2022: AuditIfNotExists (default: effect-df73bd95-24da-4a4f-96b9-4e8b94b402bd),NIST CSF V2: AuditIfNotExists (default: effect-df73bd95-24da-4a4f-96b9-4e8b94b402bd)","parameter: AuditIfNotExists,Disabled",AuditIfNotExists,"{""endpointType-df73bd95-24da-4a4f-96b9-4e8b94b402bd"":""Management"",""endpointType-1"":""Management""}",AuditIfNotExists,"{""endpointType-df73bd95-24da-4a4f-96b9-4e8b94b402bd"":""Management"",""endpointType-1"":""Management""}"
